id,Position,Track Name,Artist,Popularity
1,1,Lovin On Me,Jack Harlow,94
2,2,Rockin' Around The Christmas Tree,Brenda Lee,91
3,3,All I Want for Christmas Is You,Mariah Carey,94
4,4,My Love Mine All Mine,Mitski,98
5,5,Jingle Bell Rock,Bobby Helms,87
6,6,Last Christmas - Single Version,Wham!,82
7,7,Stick Season,Noah Kahan,91
8,8,greedy,Tate McRae,100
9,9,It's the Most Wonderful Time of the Year,Andy Williams,75
10,10,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,93
11,11,Agora Hills,Doja Cat,84
12,12,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,94
13,13,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,88
14,14,IDGAF (feat. Yeat),Drake,93
15,15,500lbs,Lil Tecca,84
16,16,A Holly Jolly Christmas,Burl Ives,85
17,17,It's Beginning to Look a Lot like Christmas,Michael Bublé,80
18,18,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,80
19,19,Paint The Town Red,Doja Cat,88
20,20,First Person Shooter (feat. J. Cole),Drake,91
21,21,Cruel Summer,Taylor Swift,98
22,22,Santa Tell Me,Ariana Grande,89
23,23,Something in the Orange,Zach Bryan,90
24,24,White Christmas - 1947 Version,Bing Crosby,84
25,25,fukumean,Gunna,93
26,26,The Christmas Song (Merry Christmas To You),Nat King Cole,84
27,27,Underneath the Tree,Kelly Clarkson,80
28,28,Snooze,SZA,92
29,29,Holly Jolly Christmas,Michael Bublé,77
30,30,HARLEY QUINN,Fuerza Regida,94
31,31,Sleigh Ride,The Ronettes,76
32,32,I KNOW ?,Travis Scott,91
33,33,exes,Tate McRae,88
34,34,Feliz Navidad,José Feliciano,81
35,35,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,83
36,36,MONACO,Bad Bunny,97
37,37,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,92
38,38,Jingle Bells - Remastered 1999,Frank Sinatra,81
39,39,Last Night,Morgan Wallen,85
40,40,Pink + White,Frank Ocean,91
41,41,Kill Bill,SZA,91
42,42,No Role Modelz,J. Cole,90
43,43,Surround Sound (feat. 21 Savage & Baby Tate),JID,87
44,44,See You Again (feat. Kali Uchis),"Tyler, The Creator",91
45,45,vampire,Olivia Rodrigo,94
46,46,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,88
47,47,Strangers,Kenya Grace,97
48,48,Blue Christmas,Elvis Presley,82
49,49,Christmas (Baby Please Come Home),Darlene Love,77
50,50,Mistletoe,Justin Bieber,85
